PE,AT,V,AP,RH,atribute5,atribute6,atribute7,atribute8,atribute9
1010,8,34,40,77,84,90,1,480,48
1011,23,64,58,49,4,74,2,445,75
1007,29,74,56,9,15,41,91,438,76
1007,19,7,49,69,22,76,79,453,9
1017,11,8,40,66,13,97,2,464,43
1016,13,97,39,16,5,84,6,470,96
1008,22,1,71,29,2,75,38,442,35
1021,14,47,41,76,98,78,41,464,
1010,31,25,69,51,25,36,83,428,77
1017,6,77,38,18,8,81,13,484,31
1006,28,28,68,67,36,69,9,435,29
1014,22,99,46,93,15,49,42,451,41
1010,29,3,70,4,95,61,23,426,25
1009,8,14,37,49,4,80,33,480,66
1017,16,92,44,6,34,58,75,460,17
1021,22,72,64,15,14,60,34,453,13
1012,18,14,43,56,83,47,1,461,71
1020,11,49,44,63,44,86,4,471,8
1018,9,94,40,46,9,68,51,473,74
1002,23,54,41,1,5,38,5,448,56
1015,14,9,52,5,11,77,33,464,82
1004,33,8,64,96,88,49,37,427,28
1011,25,37,68,31,12,70,99,441,76
1024,7,29,41,4,6,89,19,474,71
1019,13,55,40,71,13,75,44,467,21
1025,6,39,35,57,53,77,23,487,69
1011,26,64,62,44,81,72,46,438,67
1018,7,84,41,39,21,91,92,485,66
1011,21,82,58,66,71,64,37,452,16
1015,27,17,67,45,67,49,3,429,87
994,13,42,41,23,17,95,79,468,82
1012,20,77,56,85,4,83,63,442,85
1020,8,29,36,8,38,81,53,483,26
1015,30,98,67,45,18,45,4,433,59
1008,31,96,71,29,39,47,51,433,4
1024,15,83,52,75,3,58,34,458,6
1005,22,56,70,79,85,93,9,435,14
1018,25,91,75,6,23,62,65,443,2
1017,8,24,39,61,99,78,42,477,9
1018,24,66,60,29,59,56,445,26,
1006,29,31,68,67,18,63,38,435,57
1008,21,48,66,91,58,84,49,447,42
1016,18,28,44,71,99,33,71,462,28
1015,26,96,65,34,5,46,93,441,81
1014,16,1,65,46,87,68,454,16,
1009,27,37,63,73,79,65,25,437,24
1004,16,3,39,63,64,85,61,464,11
1002,23,8,48,6,43,67,32,440,89
1016,8,19,41,66,57,75,38,485,2
1009,25,28,67,69,5,68,54,445,34
1011,21,47,70,32,72,88,36,440,
1014,30,54,67,45,37,32,97,431,35
1017,18,3,44,6,95,63,24,456,32
1003,25,82,72,39,4,86,33,432,98
1009,31,12,69,13,61,56,54,429,41
1006,15,99,39,63,9,89,92,464,95
1008,8,42,42,28,4,87,78,481,91
1011,23,7,69,23,73,73,18,437,15
1012,15,71,40,12,81,97,46,462,6
1003,29,11,74,9,31,74,1,432,43
1009,23,73,61,2,71,78,7,442,22
1014,28,26,65,34,56,43,4,441,3
1016,15,92,41,2,4,73,37,468,91
1009,33,4,70,8,17,57,1,432,46
1015,31,92,68,3,58,41,55,430,7
1002,26,87,74,99,48,71,91,437,78
1025,5,23,40,78,13,92,74,483,12
1023,15,72,41,76,7,66,95,462,19
1015,17,74,50,88,56,89,78,457,71
1004,27,13,59,54,33,73,27,438,32
1013,25,82,66,49,2,60,32,434,35
1002,34,2,68,14,7,56,9,427,5
1010,19,13,68,61,65,94,92,448,69
1021,11,77,41,6,45,76,63,475,88
1018,10,25,41,46,67,84,41,479,28
1010,23,82,48,92,48,44,45,446,85
1009,30,1,66,25,38,65,41,434,99
1009,29,92,69,75,12,67,15,441,5
1018,29,63,66,75,8,58,46,433,26
1009,30,61,77,17,49,73,19,430,46
1014,16,18,50,88,6,100,9,455,14
1004,31,66,73,91,49,68,13,431,26
1009,29,14,61,5,64,39,95,437,76
1012,18,4,43,96,4,77,81,464,63
1016,15,86,38,62,65,67,51,462,58
1004,6,31,42,7,61,77,74,483,27
1009,23,4,72,99,48,88,82,438,51
1009,33,62,77,17,38,63,71,431,3
1019,6,89,43,65,87,72,77,484,
1008,27,41,69,98,51,65,49,431,64
1014,26,37,54,5,48,66,31,451,78
1014,26,58,59,39,49,65,87,439,46
1012,15,25,43,2,4,41,43,467,23
1012,21,24,41,67,6,49,27,459,81
1011,24,98,58,5,69,69,97,447,15
1012,26,63,64,44,66,61,19,442,
1005,18,87,52,8,25,99,19,449,61
1025,5,12,40,78,45,96,88,481,28
1008,31,1,71,32,9,45,87,437,54
1023,7,91,39,96,57,88,44,475,52
1019,14,97,58,2,52,81,13,458,68
1011,28,92,61,2,19,56,13,436,76
1013,22,92,61,9,27,78,32,446,8
1012,12,55,38,91,58,75,44,474,35
1015,9,38,41,44,9,86,8,481,96
1018,10,28,41,46,44,85,23,479,66
1008,30,31,77,24,2,67,84,435,28
1007,25,34,71,6,74,92,52,434,86
1009,30,47,70,2,65,62,3,435,72
1020,20,18,56,53,3,77,1,454,14
1014,21,31,46,97,8,62,57,455,76
1009,22,1,74,87,4,85,78,442,83
1020,20,9,63,94,82,74,16,449,47
1016,22,36,58,79,69,73,6,445,76
1013,9,43,37,14,3,74,99,473,57
1003,28,86,49,3,93,52,85,435,75
1009,23,25,70,32,28,86,52,437,96
1019,22,7,60,84,15,71,48,438,59
1013,21,3,59,39,83,84,53,444,21
1008,19,94,44,9,52,74,69,459,47
1011,14,97,43,67,13,87,33,465,54
1024,13,83,40,78,85,73,8,458,85
1005,23,39,71,25,22,93,7,435,68
1006,21,48,47,43,88,63,54,449,2
1013,22,63,58,41,69,90,32,445,43
1014,20,1,45,9,21,38,19,453,96
1015,20,52,43,79,9,68,1,463,93
1008,13,58,49,83,9,86,8,465,82
1024,14,38,44,84,59,81,68,471,6
1004,28,53,69,84,46,68,3,427,72
1016,13,89,35,71,4,65,49,468,54
1008,25,93,69,34,91,79,43,434,8
1020,17,84,61,27,1,70,68,454,57
1020,6,28,41,6,96,90,91,489,79
1011,8,16,39,64,21,85,56,481,78
1004,18,61,67,71,7,84,49,443,57
1009,16,23,43,72,96,83,1,457,9
1022,8,66,41,1,51,98,55,472,16
1013,19,53,66,54,72,81,46,451,19
1018,10,17,40,46,54,68,21,470,33
1010,6,48,40,27,55,82,12,486,68
1016,12,69,40,75,5,82,92,472,68
1009,23,77,61,87,8,54,83,445,72
1021,14,43,43,5,86,83,14,466,58
